<?xml version="1.0" encoding="utf-8"?>
<Catalog>
  <CatalogType>Orion Nebula Cluster Catalog (from HEASARC)</CatalogType>
  <Description>Orion Nebula Cluster Chandra HRC Optical Sample</Description>
  <VisualMagnitudeLimit>14.7</VisualMagnitudeLimit>
  <Epoch>2000.0</Epoch>
  <Author>Flaccomio et al.</Author>
  <Date>2007-05-17 20:18:25</Date>
  <Source>http://heasarc.gsfc.nasa.gov/W3Browse/chandra/onccxoopt.html</Source>
  <Comments>
    Catalog covers 1 Constellations and contains 696 Objects.
    File was saved: Mon Jul 06 16:56:39 EDT 2015
    File was created and filtered by J. L. Lawrence
  </Comments>
  <DataFormatDescrip>
    The format for star catalogs requires that the objects in the catalog
    be sorted by constellation (i.e., constellation abbreviated name) and then by
    object name within the constellations. The data below, sorted by constellation
    and then by object name, is saved as comma delimited fields as follows:
    Name,RA,Decl,mV,Constellation,Alternate Name,Comment
    IMPORTANT NOTE: Because commas are used as field delimiters, commas must **NOT**
    be included in the Name, Alternate Name, or Comment fields!
  </DataFormatDescrip>
  <Data>
    [FDM2003] Opt 243,5.585517,-5.354847,,Ori,,
    [FDM2003] Opt 244,5.585536,-5.545647,,Ori,,
    [FDM2003] Opt 245,5.585536,-5.613081,,Ori,,
    [FDM2003] Opt 246,5.585592,-5.618114,,Ori,,
    [FDM2003] Opt 247,5.585600,-5.486700,,Ori,,
    [FDM2003] Opt 248,5.585614,-5.350686,,Ori,,
    [FDM2003] Opt 249,5.585625,-5.327369,,Ori,,
    [FDM2003] Opt 250,5.585678,-5.411589,,Ori,,
    [FDM2003] Opt 251,5.585678,-5.421669,,Ori,,
    [FDM2003] Opt 252,5.585694,-5.438761,,Ori,,
    [FDM2003] Opt 253,5.585767,-5.530278,,Ori,,
    [FDM2003] Opt 254,5.585819,-5.338208,,Ori,,
    [FDM2003] Opt 255,5.585822,-5.499772,,Ori,,
    [FDM2003] Opt 256,5.585878,-5.281906,,Ori,,
    [FDM2003] Opt 257,5.585972,-5.473053,,Ori,,
    [FDM2003] Opt 258,5.585972,-5.466667,,Ori,,
    [FDM2003] Opt 259,5.585975,-5.328878,,Ori,,
    [FDM2003] Opt 260,5.585989,-5.439800,,Ori,,
    [FDM2003] Opt 261,5.586000,-5.357003,,Ori,,
    [FDM2003] Opt 262,5.586019,-5.390828,,Ori,,
    [FDM2003] Opt 263,5.586044,-5.326197,,Ori,,
    [FDM2003] Opt 264,5.586053,-5.464831,,Ori,,
    [FDM2003] Opt 265,5.586136,-5.339264,,Ori,,
    [FDM2003] Opt 266,5.586142,-5.389328,,Ori,,
    [FDM2003] Opt 267,5.586169,-5.332311,,Ori,,
    [FDM2003] Opt 268,5.586172,-5.353678,,Ori,,
    [FDM2003] Opt 269,5.586222,-5.379353,,Ori,,
    [FDM2003] Opt 270,5.586225,-5.438417,,Ori,,
    [FDM2003] Opt 271,5.586244,-5.553797,,Ori,,
    [FDM2003] Opt 272,5.586247,-5.365658,,Ori,,
    [FDM2003] Opt 273,5.586289,-5.395758,,Ori,,
    [FDM2003] Opt 274,5.586289,-5.441158,,Ori,,
    [FDM2003] Opt 275,5.586331,-5.466897,,Ori,,
    [FDM2003] Opt 276,5.586347,-5.413542,,Ori,,
    [FDM2003] Opt 277,5.586397,-5.583286,,Ori,,
    [FDM2003] Opt 278,5.586403,-5.614331,,Ori,,
    [FDM2003] Opt 279,5.586500,-5.433986,,Ori,,
    [FDM2003] Opt 280,5.586542,-5.405942,,Ori,,
    [FDM2003] Opt 281,5.586564,-5.394664,,Ori,,
    [FDM2003] Opt 282,5.586683,-5.505603,,Ori,,
    [FDM2003] Opt 283,5.586697,-5.509136,,Ori,,
    [FDM2003] Opt 284,5.586719,-5.396708,,Ori,,
    [FDM2003] Opt 285,5.586806,-5.395572,,Ori,,
    [FDM2003] Opt 286,5.586806,-5.345328,,Ori,,
    [FDM2003] Opt 287,5.586831,-5.326744,,Ori,,
    [FDM2003] Opt 288,5.586836,-5.452986,,Ori,,
    [FDM2003] Opt 289,5.586836,-5.270506,,Ori,,
    [FDM2003] Opt 290,5.586853,-5.343117,,Ori,,
    [FDM2003] Opt 291,5.586858,-5.344253,,Ori,,
    [FDM2003] Opt 292,5.586867,-5.256758,,Ori,,
    [FDM2003] Opt 293,5.586867,-5.345514,,Ori,,
    [FDM2003] Opt 294,5.586875,-5.652439,,Ori,,
    [FDM2003] Opt 295,5.586931,-5.567692,,Ori,,
    [FDM2003] Opt 296,5.586933,-5.370903,,Ori,,
    [FDM2003] Opt 297,5.587014,-5.374031,,Ori,,
    [FDM2003] Opt 298,5.587053,-5.513375,,Ori,,
    [FDM2003] Opt 299,5.587058,-5.288239,,Ori,,
    [FDM2003] Opt 300,5.587061,-5.372150,,Ori,,
    [FDM2003] Opt 301,5.587064,-5.457986,,Ori,,
    [FDM2003] Opt 302,5.587086,-5.516006,,Ori,,
    [FDM2003] Opt 303,5.587089,-5.407136,,Ori,,
    [FDM2003] Opt 304,5.587100,-5.356081,,Ori,,
    [FDM2003] Opt 305,5.587136,-5.653064,,Ori,,
    [FDM2003] Opt 306,5.587142,-5.368656,,Ori,,
    [FDM2003] Opt 307,5.587142,-5.506786,,Ori,,
    [FDM2003] Opt 308,5.587208,-5.331192,,Ori,,
    [FDM2003] Opt 309,5.587208,-5.430586,,Ori,,
    [FDM2003] Opt 310,5.587217,-5.376858,,Ori,,
    [FDM2003] Opt 311,5.587272,-5.406850,,Ori,,
    [FDM2003] Opt 312,5.587306,-5.392717,,Ori,,
    [FDM2003] Opt 313,5.587319,-5.555314,,Ori,,
    [FDM2003] Opt 314,5.587325,-5.417286,,Ori,,
    [FDM2003] Opt 315,5.587336,-5.484250,,Ori,,
    [FDM2003] Opt 316,5.587336,-5.368525,,Ori,,
    [FDM2003] Opt 317,5.587375,-5.376075,,Ori,,
    [FDM2003] Opt 318,5.587381,-5.147872,,Ori,,
    [FDM2003] Opt 319,5.587389,-5.653303,,Ori,,
    [FDM2003] Opt 320,5.587411,-5.389681,,Ori,,
    [FDM2003] Opt 321,5.587447,-5.377583,,Ori,,
    [FDM2003] Opt 322,5.587450,-5.403219,,Ori,,
    [FDM2003] Opt 323,5.587453,-5.610986,,Ori,,
    [FDM2003] Opt 324,5.587458,-5.403553,,Ori,,
    [FDM2003] Opt 325,5.587467,-5.366703,,Ori,,
    [FDM2003] Opt 326,5.587494,-5.375553,,Ori,,
    [FDM2003] Opt 327,5.587531,-5.373414,,Ori,,
    [FDM2003] Opt 328,5.587542,-5.382486,,Ori,,
    [FDM2003] Opt 329,5.587553,-5.341553,,Ori,,
    [FDM2003] Opt 330,5.587564,-5.227317,,Ori,,
    [FDM2003] Opt 331,5.587567,-5.317342,,Ori,,
    [FDM2003] Opt 332,5.587603,-5.456336,,Ori,,
